nombre,apellido,dni,mail,carrera
Gaspar,Cuangaray,20103355,gaspar.cuangaray@estudiantes.edu.ar,Ingeniería en Informática
Pilar,Castro,20271836,pilar.castro@estudiantes.edu.ar,Ingeniería Química
Antonio,López,20564685,antonio.lópez@estudiantes.edu.ar,Ingeniería Industrial
Zita,Corrales,21262752,zita.corrales@estudiantes.edu.ar,Ingeniería en Informática
Gregorio,Rodríguez,21465689,gregorio.rodríguez@estudiantes.edu.ar,Ingeniería en Sistemas
Violeta,Cornejo,21870928,violeta.cornejo@estudiantes.edu.ar,Ingeniería Ambiental
Winfried,Cuanellas,22234489,winfried.cuanellas@estudiantes.edu.ar,Ingeniería Eléctrica
Esperanza,Cuambo,22428388,esperanza.cuambo@estudiantes.edu.ar,Ingeniería Ambiental
Enrique,Correa,22663046,enrique.correa@estudiantes.edu.ar,Ingeniería en Sistemas
Agustín,Corría,22669995,agustín.corría@estudiantes.edu.ar,Ingeniería en Sistemas
Hilario,Concha,22879190,hilario.concha@estudiantes.edu.ar,Ingeniería en Sistemas
Ildefonso,Castillo,23047262,ildefonso.castillo@estudiantes.edu.ar,Ingeniería Química
Remedios,Fernández,23344769,remedios.fernández@estudiantes.edu.ar,Ingeniería Eléctrica
Winfried,Cuadra,23385357,winfried.cuadra@estudiantes.edu.ar,Ingeniería Ambiental
Amparo,Cuandez,23584702,amparo.cuandez@estudiantes.edu.ar,Ingeniería en Sistemas
Xiomara,Cuambo,24155299,xiomara.cuambo@estudiantes.edu.ar,Ingeniería Mecánica
Xenia,Molares,24521373,xenia.molares@estudiantes.edu.ar,Ingeniería Industrial
Enrique,Conde,24981505,enrique.conde@estudiantes.edu.ar,Ingeniería Civil
Verónica,Cuanez,25147581,verónica.cuanez@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Pablo,Crespo,25664789,pablo.crespo@estudiantes.edu.ar,Ingeniería en Informática
Pablo,Navarro,25743066,pablo.navarro@estudiantes.edu.ar,Ingeniería Electrónica
Ricardo,Cuandez,26019877,ricardo.cuandez@estudiantes.edu.ar,Ingeniería Mecánica
Remedios,Pérez,26113790,remedios.pérez@estudiantes.edu.ar,Ingeniería Eléctrica
Zuleima,Cuanes,26397986,zuleima.cuanes@estudiantes.edu.ar,Ingeniería Química
Francisco,Pérez,27281369,francisco.pérez@estudiantes.edu.ar,Ingeniería Ambiental
Ana,Gálvez,27404852,ana.gálvez@estudiantes.edu.ar,Ingeniería Civil
Teresa,Crespo,28585377,teresa.crespo@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Rafael,Mojica,29180351,rafael.mojica@estudiantes.edu.ar,Ingeniería Química
Ignacio,Cuanes,29305648,ignacio.cuanes@estudiantes.edu.ar,Ingeniería Industrial
Esperanza,Cuamora,29628519,esperanza.cuamora@estudiantes.edu.ar,Ingeniería Electrónica
Gaspar,Cuanda,29695979,gaspar.cuanda@estudiantes.edu.ar,Ingeniería Electrónica
Violeta,Garay,29784633,violeta.garay@estudiantes.edu.ar,Ingeniería Mecánica
Manuel,Cortez,30526850,manuel.cortez@estudiantes.edu.ar,Ingeniería Eléctrica
José,Sánchez,30642490,josé.sánchez@estudiantes.edu.ar,Ingeniería Eléctrica
Andrés,Vega,30946097,andrés.vega@estudiantes.edu.ar,Ingeniería en Informática
Jorge,López,30959014,jorge.lópez@estudiantes.edu.ar,Ingeniería Mecánica
Josefa,Gallardo,30973639,josefa.gallardo@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Amparo,Creus,31184121,amparo.creus@estudiantes.edu.ar,Ingeniería Química
Winfried,Cuanes,31392366,winfried.cuanes@estudiantes.edu.ar,Ingeniería Industrial
Sor,Cuadra,32648637,sor.cuadra@estudiantes.edu.ar,Ingeniería Electrónica
Ginés,Rodríguez,32839420,ginés.rodríguez@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Jorge,Correa,33187277,jorge.correa@estudiantes.edu.ar,Ingeniería Eléctrica
Iñigo,Cornejo,33237723,iñigo.cornejo@estudiantes.edu.ar,Ingeniería Mecánica
Rosa,Castillo,33315092,rosa.castillo@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Natividad,Concha,33479854,natividad.concha@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Carmen,Cuadrado,33953367,carmen.cuadrado@estudiantes.edu.ar,Ingeniería Civil
Verónica,Jiménez,34091261,verónica.jiménez@estudiantes.edu.ar,Ingeniería Mecánica
Encarnación,Corona,34586186,encarnación.corona@estudiantes.edu.ar,Ingeniería en Sistemas
Alberto,Cuanda,35346051,alberto.cuanda@estudiantes.edu.ar,Ingeniería en Sistemas
Luis,Cuanda,35358907,luis.cuanda@estudiantes.edu.ar,Ingeniería en Informática
Diego,Concha,35933681,diego.concha@estudiantes.edu.ar,Ingeniería Civil
Juan,Soto,35964436,juan.soto@estudiantes.edu.ar,Ingeniería Electrónica
Magdalena,Cornejo,36094478,magdalena.cornejo@estudiantes.edu.ar,Ingeniería Industrial
Hernán,Corvino,36845364,hernán.corvino@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Miguel,Cuanez,36861870,miguel.cuanez@estudiantes.edu.ar,Ingeniería en Sistemas
Guillermo,Corría,37824013,guillermo.corría@estudiantes.edu.ar,Ingeniería Industrial
Xenia,Cuamora,38048957,xenia.cuamora@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Juan,Corvino,38544107,juan.corvino@estudiantes.edu.ar,Ingeniería Ambiental
Concepción,Martínez,38602881,concepción.martínez@estudiantes.edu.ar,Ingeniería en Informática
Gregorio,Cuanes,38731570,gregorio.cuanes@estudiantes.edu.ar,Ingeniería en Informática
Purificación,Molares,39076651,purificación.molares@estudiantes.edu.ar,Ingeniería Electrónica
Salvador,Navarro,39082629,salvador.navarro@estudiantes.edu.ar,Ingeniería Industrial
Concepción,Cuadros,39435721,concepción.cuadros@estudiantes.edu.ar,Ingeniería Electrónica
Susana,Cuadrilla,39522899,susana.cuadrilla@estudiantes.edu.ar,Ingeniería en Sistemas
Ricardo,Gutiérrez,40052925,ricardo.gutiérrez@estudiantes.edu.ar,Ingeniería en Sistemas
Guillermo,Molano,40162875,guillermo.molano@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Zuleima,Cuanez,40193880,zuleima.cuanez@estudiantes.edu.ar,Ingeniería en Sistemas
Diego,Guzmán,40546531,diego.guzmán@estudiantes.edu.ar,Ingeniería Industrial
Domingo,Cuanda,40687413,domingo.cuanda@estudiantes.edu.ar,Ingeniería Industrial
Miguel,Correa,40833734,miguel.correa@estudiantes.edu.ar,Ingeniería en Sistemas
Ginés,Cuanguala,41081788,ginés.cuanguala@estudiantes.edu.ar,Ingeniería Ambiental
Pablo,Corrales,41249687,pablo.corrales@estudiantes.edu.ar,Ingeniería Eléctrica
Rafael,Sánchez,41300885,rafael.sánchez@estudiantes.edu.ar,Ingeniería de Telecomunicaciones
Hilario,Cuanes,41498555,hilario.cuanes@estudiantes.edu.ar,Ingeniería Mecánica
Esperanza,Cuanes,41775111,esperanza.cuanes@estudiantes.edu.ar,Ingeniería Industrial
Encarnación,Torres,42191925,encarnación.torres@estudiantes.edu.ar,Ingeniería Química
Fernando,Gallardo,42276936,fernando.gallardo@estudiantes.edu.ar,Ingeniería Electrónica
Gaspar,Cuang,42335235,gaspar.cuang@estudiantes.edu.ar,Ingeniería Química
Benito,Correa,42373627,benito.correa@estudiantes.edu.ar,Ingeniería Ambiental
Amparo,Sánchez,43027075,amparo.sánchez@estudiantes.edu.ar,Ingeniería Química
Iñigo,Cotta,43200604,iñigo.cotta@estudiantes.edu.ar,Ingeniería Civil
Diego,Sánchez,43327850,diego.sánchez@estudiantes.edu.ar,Ingeniería Química
Remedios,Moreno,43418129,remedios.moreno@estudiantes.edu.ar,Ingeniería Industrial
Javier,Cuanela,43981428,javier.cuanela@estudiantes.edu.ar,Ingeniería en Informática
Eugenio,García,45019896,eugenio.garcía@estudiantes.edu.ar,Ingeniería Industrial
Ildefonso,Sánchez,45694002,ildefonso.sánchez@estudiantes.edu.ar,Ingeniería Civil
Ricardo,Molares,46301898,ricardo.molares@estudiantes.edu.ar,Ingeniería Electrónica
Carmen,Corvino,46666766,carmen.corvino@estudiantes.edu.ar,Ingeniería Mecánica
Eduardo,Ruiz,46735830,eduardo.ruiz@estudiantes.edu.ar,Ingeniería Química
Alberto,Miranda,46750222,alberto.miranda@estudiantes.edu.ar,Ingeniería Mecánica
Matilde,Cotrina,46858567,matilde.cotrina@estudiantes.edu.ar,Ingeniería en Sistemas
Diego,Vega,46939239,diego.vega@estudiantes.edu.ar,Ingeniería Electrónica
Salvador,Gutiérrez,47261329,salvador.gutiérrez@estudiantes.edu.ar,Ingeniería Mecánica
Luis,Cuambo,47582006,luis.cuambo@estudiantes.edu.ar,Ingeniería en Sistemas
Magdalena,Cuanda,47752468,magdalena.cuanda@estudiantes.edu.ar,Ingeniería Mecánica
Alberto,Molares,47818815,alberto.molares@estudiantes.edu.ar,Ingeniería Civil
Ildefonso,Herrera,48563547,ildefonso.herrera@estudiantes.edu.ar,Ingeniería Industrial
Josefa,Soto,48640499,josefa.soto@estudiantes.edu.ar,Ingeniería Civil
Palmira,Molano,48696233,palmira.molano@estudiantes.edu.ar,Ingeniería Electrónica
Viviana,Gallardo,49210711,viviana.gallardo@estudiantes.edu.ar,Ingeniería Ambiental
